#Position (bp)	mapping quality
2.902302722E9	59.249349689240816
2.910052529E9	59.12268538713413
2.917802336E9	59.29976195886455
2.925552143E9	56.27190926162445
2.93330195E9	50.28819439376025
2.941051757E9	57.35211770335679
2.948801564E9	57.207003660490486
2.956551371E9	58.353630798961674
2.964301178E9	51.480146491604
2.972050985E9	59.15016156270979
2.979800792E9	56.61199659660194
2.987550599E9	58.58322883157952
2.995300406E9	58.647175317824654
3.003050213E9	58.95432373178373
3.01080002E9	58.5475704294795
3.018549827E9	57.642199032629804
3.026299634E9	56.94762686310358
3.0306084775E9	33.43841752323745
3.034483381E9	3.9240648692072098
3.041799248E9	21.308463945929624
3.049549055E9	6.514911586170493
3.057298862E9	14.646962502046831
3.065048669E9	0.0
3.072798476E9	0.0
3.080548283E9	0.0
3.0863465095E9	43.95805974637863
3.088278117E9	55.76132492773001
3.088373929E9	37.91244136071238
3.0884774725E9	37.63135846798324
3.0885573295E9	46.59496124031008
3.0886546005E9	17.672292930565806
3.0887081185E9	37.41547215231426
3.0887493115E9	27.814725674149024
3.088858438E9	30.14625550660793
3.088966832E9	38.3188972667295
3.089008063E9	41.063744046892175
3.089109657E9	12.809621541745342
3.089267292E9	9.795318595578674
3.08942189E9	16.85416082150272
3.089604443E9	38.39158269864547
3.089755642E9	38.53693167256138
3.0898220175E9	13.259340059994546
3.0898610755E9	20.155915622133904
3.089968525E9	34.40304126009213
3.0900764725E9	43.75900400177857
3.0901461555E9	16.40927716767743
3.090297168E9	33.36179470718311
3.090503609E9	27.40606046253391
3.0907062205E9	49.69399486106328
3.09089898E9	28.850825926824427
3.091013772E9	36.38731413933285
3.091052607E9	30.758505670446965
3.0911587895E9	32.57017204376737
3.091267064E9	36.89538043478261
3.0915130575E9	13.299125655758182
3.0919550875E9	5.332140497687734
3.092891467E9	23.51249331720082
3.093702736E9	50.41816567429228
3.093935951E9	23.573372126823198
3.094132646E9	25.947501245226633
3.0942642985E9	7.533269251308341
3.094360447E9	49.631742538852976
3.0944711045E9	14.985438582013355
3.0946435155E9	17.602122271022346
3.094747446E9	28.819706340825665
3.0948598115E9	34.73014355792815
3.0950026905E9	14.476668505239934
3.095104297E9	48.27837684449489
3.095190977E9	0.44925373134328356
3.0952465895E9	0.0
3.0952663465E9	0.0
3.095268566E9	0.0
3.0952706195E9	0.0
3.0952723265E9	0.0
3.0952838005E9	26.228816722657708
3.0952967465E9	18.0
3.095299555E9	6.0
3.0953008775E9	0.0
3.0953027375E9	32.19616204690831
3.0953043745E9	1.0
3.095311073E9	15.988235294117647
3.0953361175E9	0.0
3.095355552E9	45.0
3.0953574645E9	7.27217125382263
3.095360032E9	0.0
3.095361791E9	60.0
3.095363378E9	40.46650124069479
3.095365611E9	42.54208754208754
3.0953678415E9	18.661921708185055
3.095369933E9	55.04490500863558
3.095371677E9	45.587315377932235
3.09537289E9	0.0
3.0953743225E9	0.0
3.095375945E9	60.0
3.095572656E9	45.96815031649528
3.095769303E9	42.19949391984266
3.0957708065E9	49.54782608695652
3.0957736535E9	48.259045394961504
3.095822105E9	42.68114651949439
3.095924849E9	34.220504287781544
3.095983129E9	42.41042345276873
3.095986364E9	45.642988364972446
3.0959887305E9	50.20123747790218
3.0959909825E9	46.49407114624506
3.095993051E9	57.61953125
3.0959946765E9	53.027303754266214
3.096006671E9	39.45312863456618
3.0960870785E9	48.7832349510445
3.0961589785E9	46.52788104089219
3.096165879E9	50.27554048325562
3.096173123E9	52.93265541059095
3.09617898E9	56.22768549280177
3.096183283E9	49.180771156735105
3.096185859E9	0.0
3.0961883E9	0.0
3.0961908755E9	0.0
3.096192456E9	47.341059602649004
3.096238607E9	42.022790561336656
3.0962848625E9	16.78249787595582
3.096286263E9	0.0
