Sample	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates
36-NEB-100ng-4_S4_L004_R1_001	42.0	16.666666666666664	45454135.0	151.0	7.6117793460051075
36-NEB-100ng-4_S4_L004_R2_001	42.0	16.666666666666664	45454135.0	151.0	7.106735090339953
37-NEB-10ng-1_S5_L001_R1_001	42.0	25.0	45548767.0	151.0	7.337674488571693
37-NEB-10ng-1_S5_L001_R2_001	42.0	16.666666666666664	45548767.0	151.0	5.405731547073742
37-NEB-10ng-1_S5_L002_R1_001	42.0	16.666666666666664	45135910.0	151.0	7.165383175565694
37-NEB-10ng-1_S5_L002_R2_001	42.0	16.666666666666664	45135910.0	151.0	5.2848082592228
37-NEB-10ng-1_S5_L003_R1_001	42.0	16.666666666666664	46413280.0	151.0	7.296454699708349
37-NEB-10ng-1_S5_L003_R2_001	42.0	16.666666666666664	46413280.0	151.0	6.060360676547688
37-NEB-10ng-1_S5_L004_R1_001	42.0	16.666666666666664	45920009.0	151.0	7.787769880454277
37-NEB-10ng-1_S5_L004_R2_001	42.0	16.666666666666664	45920009.0	151.0	6.98851944570616
38-NEB-10ng-2_S6_L001_R1_001	42.0	25.0	48592672.0	151.0	7.319753212041618
